Data,Jogo,Real,Previsto,Pontos,Tipo
2024-10-15,Canada vs Panama,2 x 1,2 x 1,20,Placar exato
2024-10-15,Mexico vs United States,2 x 0,1 x 2,0,Errou
2024-10-15,Morocco vs Central African Republic,4 x 0,3 x 2,0,Errou
2024-10-15,Malawi vs Senegal,0 x 1,0 x 45,5,Gols de um time
2024-10-15,Costa Rica vs Guatemala,3 x 0,5 x 0,5,Gols de um time
2024-10-15,Scotland vs None,0 x 0,0 x 6,5,Gols de um time
2024-10-15,Poland vs None,3 x 3,1 x 2,0,Errou
2024-10-15,None vs Serbia,3 x 0,3 x 1,5,Gols de um time
2024-10-15,Switzerland vs Denmark,2 x 2,2 x 1,5,Gols de um time
2024-10-15,Colombia vs Chile,4 x 0,2 x 1,0,Errou
2024-10-15,None vs Ecuador,0 x 0,1 x 1,0,Errou
2024-10-15,None vs Germany,6 x 0,8 x 0,5,Gols de um time
2024-10-15,None vs Peru,4 x 0,3 x 0,5,Gols de um time
2024-10-15,Iran vs Qatar,4 x 1,3 x 1,5,Gols de um time
2024-10-15,South Korea vs Iraq,3 x 2,4 x 0,0,Errou
2024-10-15,Japan vs Australia,1 x 1,1 x 1,20,Placar exato
2024-10-15,Saudi Arabia vs Bahrain,0 x 0,3 x 0,5,Gols de um time
2024-10-16,None vs None,2 x 0,1 x 1,0,Errou
2024-10-19,None vs None,2 x 0,2 x 1,5,Gols de um time
2024-10-23,None vs None,3 x 3,1 x 2,0,Errou
2024-10-28,None vs None,3 x 1,1 x 1,5,Gols de um time
2024-10-28,None vs None,1 x 3,1 x 1,5,Gols de um time
2024-11-03,None vs None,1 x 2,1 x 2,20,Placar exato
2024-11-05,None vs None,3 x 0,2 x 1,0,Errou
2024-11-06,None vs None,0 x 0,1 x 1,0,Errou
2024-11-14,None vs None,0 x 1,1 x 1,5,Gols de um time
2024-11-14,None vs None,0 x 1,2 x 1,5,Gols de um time
2024-11-14,None vs Israel,0 x 0,16 x 0,5,Gols de um time
2024-11-14,Greece vs None,0 x 3,0 x 11,5,Gols de um time
2024-11-14,Costa Rica vs Panama,0 x 1,1 x 1,5,Gols de um time
2024-11-14,Jamaica vs United States,0 x 1,1 x 2,0,Errou
2024-11-14,Venezuela vs None,1 x 1,0 x 5,0,Errou
2024-11-14,Ecuador vs Germany,4 x 0,3 x 0,5,Gols de um time
2024-11-14,Paraguay vs None,2 x 1,0 x 4,0,Errou
2024-11-14,North Korea vs Iran,2 x 3,0 x 13,0,Errou
2024-11-14,Qatar vs Uzbekistan,3 x 2,3 x 1,5,Gols de um time
2024-11-14,Kuwait vs South Korea,1 x 3,0 x 8,0,Errou
2024-11-14,Australia vs Saudi Arabia,0 x 0,2 x 1,0,Errou
2024-11-14,Burkina Faso vs Senegal,0 x 1,0 x 25,5,Gols de um time
2024-11-15,None vs None,2 x 2,1 x 1,0,Errou
2024-11-15,None vs None,0 x 0,1 x 1,0,Errou
2024-11-15,None vs Poland,5 x 1,2 x 1,5,Gols de um time
2024-11-15,Scotland vs None,1 x 0,0 x 5,0,Errou
2024-11-15,Denmark vs None,1 x 2,2 x 2,5,Gols de um time
2024-11-15,Switzerland vs Serbia,1 x 1,2 x 1,5,Gols de um time
2024-11-15,Honduras vs Mexico,2 x 0,0 x 5,0,Errou
2024-11-15,Suriname vs Canada,0 x 1,0 x 18,5,Gols de um time
2024-11-15,Peru vs Chile,0 x 0,1 x 2,0,Errou
2024-11-15,None vs Colombia,3 x 2,1 x 2,5,Gols de um time
2024-11-15,Indonesia vs Japan,0 x 4,0 x 12,5,Gols de um time
2024-11-15,Gabon vs Morocco,1 x 5,0 x 8,0,Errou
2024-11-16,None vs None,2 x 0,1 x 1,0,Errou
2024-11-16,None vs Portugal,7 x 0,12 x 0,5,Gols de um time
2024-11-16,None vs Hungary,4 x 0,6 x 0,5,Gols de um time
2024-11-16,Turkey vs Wales,0 x 0,1 x 3,0,Errou
2024-11-17,Israel vs None,1 x 0,0 x 17,0,Errou
2024-11-17,None vs None,1 x 3,1 x 2,5,Gols de um time
2024-11-17,None vs Republic of Ireland,5 x 0,8 x 0,5,Gols de um time
2024-11-18,None vs None,1 x 1,2 x 2,0,Errou
2024-11-18,Poland vs Scotland,1 x 2,4 x 0,0,Errou
2024-11-18,Serbia vs Denmark,0 x 0,1 x 2,0,Errou
2024-11-18,None vs Switzerland,3 x 2,2 x 2,5,Gols de um time
2024-11-18,Panama vs Costa Rica,2 x 2,1 x 1,0,Errou
2024-11-18,United States vs Jamaica,4 x 2,2 x 1,0,Errou
2024-11-18,Morocco vs Lesotho,7 x 0,3 x 2,0,Errou
2024-11-19,Portugal vs None,1 x 1,0 x 14,0,Errou
2024-11-19,Hungary vs None,1 x 1,0 x 5,0,Errou
2024-11-19,Wales vs Iceland,4 x 1,5 x 0,0,Errou
2024-11-19,Canada vs Suriname,3 x 0,18 x 0,5,Gols de um time
2024-11-19,Mexico vs Honduras,4 x 0,5 x 0,5,Gols de um time
2024-11-19,Colombia vs Ecuador,0 x 1,2 x 1,5,Gols de um time
2024-11-19,None vs Peru,1 x 0,4 x 0,5,Gols de um time
2024-11-19,Chile vs Venezuela,4 x 2,3 x 1,0,Errou
2024-11-19,None vs None,1 x 1,2 x 1,5,Gols de um time
2024-11-19,Kyrgyzstan vs Iran,2 x 3,0 x 11,0,Errou
2024-11-19,United Arab Emirates vs Qatar,5 x 0,1 x 2,0,Errou
2024-11-19,Palestine vs South Korea,1 x 1,0 x 11,0,Errou
2024-11-19,Bahrain vs Australia,2 x 2,0 x 5,0,Errou
2024-11-19,Indonesia vs Saudi Arabia,2 x 0,0 x 8,0,Errou
2024-11-19,China PR vs Japan,1 x 3,0 x 13,0,Errou
2024-11-19,Senegal vs Burundi,2 x 0,84 x 0,5,Gols de um time
2024-11-24,None vs None,0 x 2,1 x 1,0,Errou
2024-11-28,None vs None,1 x 0,1 x 1,5,Gols de um time
2024-11-29,None vs None,2 x 0,1 x 1,0,Errou
2024-12-01,None vs None,1 x 0,1 x 1,5,Gols de um time
2024-12-09,None vs None,1 x 1,2 x 1,5,Gols de um time
2024-12-12,None vs None,4 x 1,2 x 1,5,Gols de um time
2024-12-16,None vs None,3 x 1,1 x 2,0,Errou
2024-12-19,None vs None,2 x 2,1 x 1,0,Errou
2024-12-21,Qatar vs United Arab Emirates,1 x 1,2 x 1,5,Gols de um time
2024-12-22,Saudi Arabia vs Bahrain,2 x 3,3 x 0,0,Errou
2024-12-24,Oman vs Qatar,2 x 1,1 x 2,0,Errou
2024-12-25,Yemen vs Saudi Arabia,2 x 3,0 x 21,0,Errou
